year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM
2013,3,2,21,69,90,68,116,2200,6,0.5,1024.8,-15.1,0,N,0.2
2013,3,3,0,122,142,86,106,3100,8,-2.2,1022.3,-12.8,0,N,0
2013,3,3,5,90,109,77,102,3100,5,-5.2,1018.5,-11.6,0,NE,0.9
2013,3,3,23,103,138,36,128,2799,5,7.1,1016.7,-12.2,0,N,0.4
2013,3,4,5,3,6,10,22,300,74,6,1020.1,-14.2,0,NW,2.4
2013,3,4,10,13,20,16,32,500,68,11.5,1022.3,-14.3,0,N,0
2013,3,6,0,229,232,124,182,3299,48,5.6,1010.4,-7,0,NE,0.8
2013,3,6,9,176,177,88,116,2500,35,8.4,1010.8,-6.6,0,N,0.8
2013,3,6,10,138,170,96,114,2200,35,8.8,1010.4,-6.2,0,NE,1.1
2013,3,6,15,227,245,119,153,2899,35,14.7,1007,-4.6,0,SW,1.3
2013,3,6,22,234,257,140,158,3700,14,8.3,1009.3,-3.6,0,SE,1.8
2013,3,11,16,110,140,115,84,1399,86,11,1011.3,-6.4,0,SW,2.7
2013,3,12,22,163,137,28,94,2399,14,4.1,1018.7,1.6,0,NE,0.9
2013,3,14,0,65,106,30,65,1300,93,1.6,1026.8,-5.6,0,S,3.3
2013,3,15,16,237,271,91,107,1800,59,12,1012.8,-0.2,0,SW,2.1
2013,3,16,2,279,288,74,129,2600,59,6.4,1018.3,-0.8,0,N,2
2013,3,18,0,485,461,62,161,4200,107,8.4,997.9,3.8,0,E,1.1
2013,3,18,13,13,6,3,14,300,107,11.3,1004,-17.2,0,NW,4.3
2013,3,19,5,3,6,12,42,400,39,0.5,1007.7,-5.1,0,NE,1.4
2013,3,20,6,30,6,4,24,700,41,-5.1,1021.7,-5.6,0,SW,0.5
2013,3,21,11,3,119,41,74,1399,20,5.4,1004.9,-2.9,0,NW,1.8
2013,3,21,14,158,166,51,78,1300,50,8.4,1002,-2.3,0,N,2.2
2013,3,21,22,188,190,29,120,1700,12,6.7,1007.7,-2,0,N,2.3
2013,3,22,8,12,24,12,44,500,50,6.7,1016.6,-12,0,E,2.5
2013,3,22,14,68,137,28,43,1100,76,9.9,1013.4,-6.5,0,SW,5.3
2013,3,24,16,10,17,7,20,400,96,9.5,1014.1,-15.9,0,SE,1.2
2013,3,26,11,208,237,50,86,1800,16,9.2,1010.4,-0.2,0,S,1.5
2013,3,26,13,213,223,60,72,1399,48,12.2,1008.1,-2.8,0,SW,4
2013,3,28,3,12,18,3,26,300,74,5,1016.8,-15.6,0,E,1.7
2013,3,29,7,96,148,30,80,2100,3,3.4,1020.4,-4.6,0,E,1.8
2013,3,31,19,241,251,34,85,1600,3,6.4,1011.3,2.8,0,N,0.7
2013,3,31,21,233,236,29,86,1700,2,6.7,1011.3,2.9,0,NE,1.5
2013,4,3,4,156,239,32,142,2000,7,4.4,1005.9,-0.6,0,E,0
2013,4,4,15,98,164,77,94,2500,32,8,1008.6,0.9,0,N,3.2
2013,4,5,12,33,7,23,23,600,59,13.3,1013.5,-4.9,0,NW,4.5
2013,4,9,1,11,42,3,14,300,90,6.6,1012.1,-10.7,0,NW,5.3
2013,4,9,11,12,26,3,20,300,95,11.1,1016.4,-9.9,0,NW,5.7
2013,4,9,16,15,15,3,22,300,97,10.6,1016.4,-9.2,0,NW,5.9
2013,4,13,7,102,166,23,95,1500,3,12.8,998.5,1.8,0,NW,1.7
2013,4,13,10,138,263,53,119,1399,16,23.1,998.1,0.8,0,N,3.6
2013,4,14,12,61,208,30,47,1000,80,14.6,1006.6,-3.3,0,SW,2.4
2013,4,15,9,66,134,112,72,2299,38,13.6,1001.5,-3.7,0,E,2.4
2013,4,16,0,53,115,46,51,1500,63,10.2,1000,-0.6,0,NE,1.4
2013,4,16,7,58,129,36,95,1300,16,12.3,1002,1,0,NE,1.5
2013,4,17,9,53,78,17,74,800,48,11.5,1007.3,-3.5,0,SE,3.5
2013,4,18,11,9,24,3,11,200,95,12.2,1020.2,-15.5,0,NE,4.2
2013,4,19,6,52,104,31,71,1200,22,7,1022,-3.8,0,SE,2.1
2013,4,21,14,119,123,38,39,1100,109,17.6,1011.4,1.5,0,SW,3.7
2013,4,23,18,225,230,29,85,1500,40,14.1,1007.9,6.4,0,E,0
2013,4,25,19,3,31,3,30,400,88,18.1,1008.3,-10.8,0,NE,1.2
